"Timestamp","1. What is your age group?","2. What is your primary mobile network provider?","3. Which type of mobile phone do you use?","4. What do you use mobile data for most? (Select all that apply)","5. How often do you experience poor network service?","6. Rate your satisfaction with your mobile internet speed:","7. How reliable is your network during voice calls?","8. How reliable is your network during various online activities like gaming, online meetings, online jobs and others?","9. How quickly does your network respond when loading pages or apps?","10. Have you experienced dropped calls or interrupted internet recently?","11. Would you be willing to install an app that monitors your network quality in the background?","12. What features would you expect from such an app? (Select all that apply)
","13. How often would you be comfortable providing feedback manually through the app?","14. Do you have any concerns about privacy or data collection from such an app?","15. Any suggestions or features you’d like to see in this app?"
"2025/04/10 8:52:49 PM GMT+1","- 18–25","- MTN","- Android","- Browsing;- Video Streaming;- Social Media;- Online Gaming;- Voice/Video Calls;- Downloads/Uploads;Online meetings, online jobs, online studies ","- Often","- Neutral","- Neutral","- Unreliable","- Slow","- Occasionally","- Yes","- Real-time speed test;- Network quality alerts;- Manual feedback option;- Battery-friendly operation;- Data privacy options","- A few times a day","Not really ","No"
"2025/04/10 8:58:54 PM GMT+1","- 18–25","- MTN","- iOS","- Social Media","- Often","- Neutral","- Neutral","- Unreliable","- Slow","- Occasionally","- No","- Data privacy options","- Only when I face issues","Yes","Data privacy "
"2025/04/10 9:01:49 PM GMT+1","- 18–25","- MTN","- iOS","- Browsing;- Social Media;- Voice/Video Calls;- Downloads/Uploads","- Often","- Dissatisfied","- Unreliable","- Neutral","- Average","- Rarely","- Yes","- Real-time speed test","- Only when I face issues","Yes ","No"
"2025/04/10 9:12:10 PM GMT+1","- 18–25","- MTN","- iOS","- Browsing;- Social Media;- Online Gaming;- Voice/Video Calls;- Downloads/Uploads","- Often","- Dissatisfied","- Neutral","- Unreliable","- Slow","- Occasionally","- No","- Network quality alerts;- Battery-friendly operation;- Data privacy options","- Once a week","Privacy ","An app"
"2025/04/10 9:20:43 PM GMT+1","- 18–25","- MTN","- Android","- Social Media","- Often","- Neutral","- Neutral","- Neutral","- Average","- Occasionally","- Maybe","- Data privacy options","- Only when I face issues","Yes","Avoid too much ads "
"2025/04/10 9:21:49 PM GMT+1","- 18–25","- MTN","- Android","- Social Media","- Often","- Very Dissatisfied","- Unreliable","- Unreliable","- Average","- Yes, frequently","- Maybe","- Data privacy options","- Once a week","No","No"
"2025/04/10 9:23:07 PM GMT+1","- 36–45","- MTN","- Android","- Browsing;- Social Media;- Voice/Video Calls;- Downloads/Uploads;Reading ","- Often","- Dissatisfied","- Reliable","- Unreliable","- Average","- Yes, frequently","- Maybe","- Real-time speed test;- Network quality alerts;- Data privacy options","- Only when I face issues","Privacy ","Not yet till it's available "
"2025/04/10 9:23:34 PM GMT+1","- Under 18","- MTN","- Android","- Browsing;- Downloads/Uploads","- Sometimes","- Neutral","- Neutral","- Neutral","- Average","- Rarely","- Yes","- Real-time speed test;- Network quality alerts","- Once a week","Yes","No idea"
"2025/04/10 9:24:13 PM GMT+1","- 26–35","- MTN","- Android","- Social Media","- Often","- Neutral","- Neutral","- Reliable","- Average","- Occasionally","- Maybe","- Network quality alerts","- Only when I face issues","Yes","Network monitoring "
"2025/04/10 9:25:39 PM GMT+1","- 18–25","- MTN","- iOS","- Social Media","- Sometimes","- Neutral","- Neutral","- Neutral","- Average","- Occasionally","- Yes","- Real-time speed test;- Network quality alerts;- Data privacy options","- A few times a day"," O","No"
"2025/04/10 9:31:12 PM GMT+1","- 18–25","- MTN","- Android","- Video Streaming;- Online Gaming;- Downloads/Uploads","- Always","- Dissatisfied","- Unreliable","- Unreliable","- Slow","- Yes, frequently","- Maybe","- Real-time speed test;- Network quality alerts;- Manual feedback option;- Battery-friendly operation;- Data privacy options","- Once a day","As long as they don't dare with my momo account, I don't have a problem with that ","For now no "
"2025/04/10 9:34:40 PM GMT+1","- 18–25","- MTN","- Android","- Social Media","- Sometimes","- Neutral","- Neutral","- Neutral","- Average","- Occasionally","- Maybe","- Network quality alerts","- Only when I face issues","Not really ","None for now "
"2025/04/10 9:35:36 PM GMT+1","- 18–25","- MTN","- iOS","- Social Media","- Always","- Very Dissatisfied","- Unreliable","- Unreliable","- Slow","- Yes, frequently","- Yes","- Real-time speed test","- Every hour","No","It should be able to send me information about how my mobile network is at all moments "
